year,month,RiceInflation,Contri
1990,January,5.4,0.47892202
1990,February,5.1,0.452315241
1990,March,5.1,0.452315241
1990,April,5.6,0.496659872
1990,May,7,0.62082484
1990,June,8.3,0.736120882
1990,July,10.3,0.913499408
1990,August,16.6,1.472241764
1990,September,26.8,2.376872246
1990,October,25.3,2.243838351
1990,November,23.6,2.093066604
1990,December,22.5,1.995508415
1991,January,29.3,2.598595403
1991,February,31,2.74936715
1991,March,30.4,2.696153592
1991,April,29.6,2.625202182
1991,May,27.8,2.465561509
1991,June,25.6,2.27044513
1991,July,22.1,1.96003271
1991,August,14.1,1.250518607
1991,September,4.4,0.390232757
1991,October,4.9,0.434577388
1991,November,5.1,0.452315241
1991,December,6.3,0.558742356
1992,January,-1.7,-0.150771747
1992,February,-2.8,-0.248329936
1992,March,-1.9,-0.1685096
1992,April,-1.7,-0.150771747
1992,May,-2,-0.177378526
1992,June,-1.9,-0.1685096
1992,July,-1.7,-0.150771747
1992,August,0.4,0.035475705
1992,September,1.1,0.097558189
1992,October,1.8,0.159640673
1992,November,2.9,0.257198862
1992,December,2.2,0.195116378
1993,January,2.5,0.221723157
1993,February,2.9,0.257198862
1993,March,2.6,0.230592084
1993,April,2.3,0.203985305
1993,May,2.6,0.230592084
1993,June,4.8,0.425708462
1993,July,5.1,0.452315241
1993,August,3.2,0.283805641
1993,September,5.5,0.487790946
1993,October,2.9,0.257198862
1993,November,4.8,0.425708462
1993,December,3.6,0.319281346
1994,January,5.6,0.496659872
1994,February,5.6,0.496659872
1994,March,5.2,0.461184167
1994,April,5.1,0.452315241
1994,May,4.4,0.390232757
1994,June,2.4,0.212854231
1994,July,2.1,0.186247452
1994,August,1.7,0.150771747
1994,September,-1.2,-0.106427115
1994,October,0.5,0.044344631
1994,November,-2.2,-0.195116378
1994,December,-0.2,-0.017737853
1995,January,-1.7,-0.150771747
1995,February,-1,-0.088689263
1995,March,-0.6,-0.053213558
1995,April,-0.1,-0.008868926
1995,May,1.1,0.097558189
1995,June,1.3,0.115296042
1995,July,2.1,0.186247452
1995,August,2.8,0.248329936
1995,September,3,0.266067789
1995,October,4,0.354757052
1995,November,5.1,0.452315241
1995,December,5.1,0.452315241
1996,January,4.4,0.390232757
1996,February,2.8,0.248329936
1996,March,2.4,0.212854231
1996,April,2.2,0.195116378
1996,May,1.4,0.124164968
1996,June,1.4,0.124164968
1996,July,1.1,0.097558189
1996,August,0.4,0.035475705
1996,September,0.4,0.035475705
1996,October,0.1,0.008868926
1996,November,-0.1,-0.008868926
1996,December,-0.2,-0.017737853
1997,January,0.5,0.044344631
1997,February,0.9,0.079820337
1997,March,1.2,0.106427115
1997,April,0.9,0.079820337
1997,May,1.3,0.115296042
1997,June,1.1,0.097558189
1997,July,1.8,0.159640673
1997,August,3.7,0.328150273
1997,September,5.5,0.487790946
1997,October,4.2,0.372494904
1997,November,3.7,0.328150273
1997,December,3.4,0.301543494
1998,January,2.2,0.195116378
1998,February,2.3,0.203985305
1998,March,1.9,0.1685096
1998,April,2.3,0.203985305
1998,May,2.5,0.221723157
1998,June,2.8,0.248329936
1998,July,2.4,0.212854231
1998,August,0.6,0.053213558
1998,September,-1.4,-0.124164968
1998,October,-0.7,-0.062082484
1998,November,-0.1,-0.008868926
1998,December,0.1,0.008868926
1999,January,0.6,0.053213558
1999,February,0.7,0.062082484
1999,March,1.4,0.124164968
1999,April,1.9,0.1685096
1999,May,1.6,0.141902821
1999,June,1.9,0.1685096
1999,July,2.4,0.212854231
1999,August,3.6,0.319281346
1999,September,3.7,0.328150273
1999,October,3.5,0.31041242
1999,November,3.8,0.337019199
1999,December,4,0.354757052
2000,January,4.2,0.372494904
2000,February,4.4,0.390232757
2000,March,4.5,0.399101683
2000,April,5.8,0.514397725
2000,May,7.4,0.656300545
2000,June,7.7,0.682907324
2000,July,7.4,0.656300545
2000,August,7.1,0.629693767
2000,September,7.6,0.674038398
2000,October,8.1,0.718383029
2000,November,8,0.709514103
2000,December,7.9,0.700645177
2001,January,7.8,0.691776251
2001,February,7.7,0.682907324
2001,March,7.5,0.665169472
2001,April,5.6,0.496659872
2001,May,4.5,0.399101683
2001,June,3.7,0.328150273
2001,July,2.9,0.257198862
2001,August,2,0.177378526
2001,September,1.3,0.115296042
2001,October,1.7,0.150771747
2001,November,2,0.177378526
2001,December,2,0.177378526
2002,January,2.3,0.203985305
2002,February,2.3,0.203985305
2002,March,2.1,0.186247452
2002,April,2,0.177378526
2002,May,1.9,0.1685096
2002,June,1.9,0.1685096
2002,July,2.1,0.186247452
2002,August,2.6,0.230592084
2002,September,5.3,0.470053093
2002,October,5.6,0.496659872
2002,November,5.7,0.505528799
2002,December,5.9,0.523266651
2003,January,6.5,0.576480209
2003,February,6.5,0.576480209
2003,March,8.8,0.780465514
2003,April,18.6,1.64962029
2003,May,23.5,2.084197678
2003,June,31.3,2.775973929
2003,July,36.4,3.22828917
2003,August,34.6,3.068648496
2003,September,28.5,2.527643993
2003,October,24.9,2.208362646
2003,November,23,2.039853047
2003,December,21.9,1.942294858
2004,January,22.1,1.96003271
2004,February,24.6,2.181755867
2004,March,22.9,2.03098412
2004,April,13.6,1.206173975
2004,May,9.1,0.807072292
2004,June,2.6,0.230592084
2004,July,-2,-0.177378526
2004,August,-1.6,-0.141902821
2004,September,0.4,0.035475705
2004,October,2.6,0.230592084
2004,November,4.4,0.390232757
2004,December,5.4,0.47892202
2005,January,4.8,0.425708462
2005,February,3.1,0.274936715
2005,March,3,0.266067789
2005,April,1.7,0.150771747
2005,May,1.1,0.097558189
2005,June,1,0.088689263
2005,July,2.3,0.203985305
2005,August,3.1,0.274936715
2005,September,4.1,0.363625978
2005,October,5.1,0.452315241
2005,November,5.4,0.47892202
2005,December,5.2,0.461184167
2006,January,5.5,0.487790946
2006,February,5.3,0.470053093
2006,March,4.8,0.425708462
2006,April,5.5,0.487790946
2006,May,5.8,0.514397725
2006,June,6,0.532135577
2006,July,4.7,0.416839536
2006,August,4,0.354757052
2006,September,3.3,0.292674568
2006,October,2.7,0.23946101
2006,November,1.6,0.141902821
2006,December,1.3,0.115296042
2007,January,0.4,0.035475705
2007,February,0.1,0.008868926
2007,March,0.3,0.026606779
2007,April,0,0
2007,May,0.2,0.017737853
2007,June,0.2,0.017737853
2007,July,0.8,0.07095141
2007,August,1.4,0.124164968
2007,September,1.6,0.141902821
2007,October,1.3,0.115296042
2007,November,1.9,0.1685096
2007,December,2.1,0.186247452
2008,January,1.8,0.159640673
2008,February,2,0.177378526
2008,March,1.5,0.133033894
2008,April,1.3,0.115296042
2008,May,1.1,0.097558189
2008,June,1.2,0.106427115
2008,July,1.8,0.159640673
2008,August,3,0.266067789
2008,September,6.3,0.558742356
2008,October,7,0.62082484
2008,November,7.3,0.647431619
2008,December,8.4,0.744989808
2009,January,9.4,0.833679071
2009,February,9.8,0.869154776
2009,March,11.2,0.993319744
2009,April,11.7,1.037664376
2009,May,12.5,1.108615786
2009,June,13.3,1.179567197
2009,July,14.3,1.268256459
2009,August,13.3,1.179567197
2009,September,10.1,0.895761555
2009,October,9.7,0.86028585
2009,November,9.2,0.815941219
2009,December,7.9,0.700645177
2010,January,6.9,0.611955914
2010,February,5.4,0.47892202
2010,March,3.4,0.301543494
2010,April,2.6,0.230592084
2010,May,1.5,0.133033894
2010,June,0.3,0.026606779
2010,July,-1.5,-0.133033894
2010,August,-2.5,-0.221723157
2010,September,-2.8,-0.248329936
2010,October,-2.8,-0.248329936
2010,November,-2.7,-0.23946101
2010,December,-2.5,-0.221723157
2011,January,-2.4,-0.212854231
2011,February,-1.8,-0.159640673
2011,March,-1.4,-0.124164968
2011,April,-1,-0.088689263
2011,May,-0.9,-0.079820337
2011,June,-0.7,-0.062082484
2011,July,0,0
2011,August,0.4,0.035475705
2011,September,0.5,0.044344631
2011,October,0.6,0.053213558
2011,November,0.6,0.053213558
2011,December,0.5,0.044344631
2012,January,0.9,0.079820337
2012,February,0.8,0.07095141
2012,March,1,0.088689263
2012,April,1,0.088689263
2012,May,1.2,0.106427115
2012,June,1.3,0.115296042
2012,July,1,0.088689263
2012,August,0.9,0.079820337
2012,September,0.7,0.062082484
2012,October,0.6,0.053213558
2012,November,0.8,0.07095141
2012,December,1.2,0.106427115
2013,January,0.1,0.008868926
2013,February,1,0.088689263
2013,March,2.5,0.221723157
2013,April,3.3,0.292674568
2013,May,3.9,0.345888125
2013,June,4.4,0.390232757
2013,July,5.1,0.452315241
2013,August,7.5,0.665169472
2013,September,12,1.064271155
2013,October,12.6,1.117484713
2013,November,9,0.798203366
2013,December,6.4,0.567611283
2014,January,6.2,0.54987343
2014,February,4.5,0.399101683
2014,March,2.2,0.195116378
2014,April,0.5,0.044344631
2014,May,-1.1,-0.097558189
2014,June,-2.4,-0.212854231
2014,July,-4.2,-0.372494904
2014,August,-7.1,-0.629693767
2014,September,-11.8,-1.046533302
2014,October,-13.3,-1.179567197
2014,November,-11.2,-0.993319744
2014,December,-9.6,-0.851416924
2015,January,-9.3,-0.824810145
2015,February,-9.1,-0.807072292
2015,March,-8.4,-0.744989808
2015,April,-5.7,-0.505528799
2015,May,-3.9,-0.345888125
2015,June,-2.8,-0.248329936
2015,July,-1.6,-0.141902821
2015,August,-1.3,-0.115296042
2015,September,-0.7,-0.062082484
2015,October,-0.5,-0.044344631
2015,November,-0.3,-0.026606779
2015,December,0.1,0.008868926
2016,January,0.3,0.026606779
2016,February,0.7,0.062082484
2016,March,1,0.088689263
2016,April,-0.8,-0.07095141
2016,May,-1.4,-0.124164968
2016,June,-2.1,-0.186247452
2016,July,-2.2,-0.195116378
2016,August,-1.5,-0.133033894
2016,September,-1.3,-0.115296042
2016,October,-0.4,-0.035475705
2016,November,0,0
2016,December,-0.1,-0.008868926
2017,January,1,0.088689263
2017,February,1.6,0.141902821
2017,March,1.6,0.141902821
2017,April,1.6,0.141902821
2017,May,1.5,0.133033894
2017,June,2,0.177378526
2017,July,2.1,0.186247452
2017,August,2.2,0.195116378
2017,September,2.4,0.212854231
2017,October,2.5,0.221723157
2017,November,3.1,0.274936715
2017,December,3.4,0.301543494
2018,January,2.7,0.23946101
2018,February,2.2,0.195116378
2018,March,2.6,0.230592084
2018,April,2.9,0.257198862
2018,May,3.4,0.301543494
2018,June,3.6,0.319281346
2018,July,4.2,0.372494904
2018,August,8.7,0.771596587
2018,September,17.9,1.587537806
2018,October,13.2,1.17069827
2018,November,15.8,1.401290354
2018,December,19.6,1.738309553
2019,January,22.6,2.004377342
2019,February,23.7,2.101935531
2019,March,24.4,2.164018015
2019,April,23.9,2.119673383
2019,May,23,2.039853047
2019,June,22.5,1.995508415
2019,July,20.9,1.853605595
2019,August,14.7,1.303732165
2019,September,5.7,0.505528799
2019,October,9.6,0.851416924
2019,November,5.1,0.452315241
2019,December,0.8,0.07095141
2020,January,,
2020,February,,
2020,March,,
2020,April,,
2020,May,,
2020,June,,
2020,July,,
2020,August,,
2020,September,,
2020,October,,
2020,November,,
2020,December,,
2021,January,,
2021,February,,
2021,March,,
2021,April,,
2021,May,,
2021,June,,
2021,July,,
2021,August,,
2021,September,,
2021,October,,
2021,November,,
2021,December,,
2022,January,,
2022,February,,
2022,March,,
2022,April,,
2022,May,,
2022,June,,
2022,July,,
2022,August,,
2022,September,,
2022,October,,
2022,November,,
2022,December,,
2023,January,,
2023,February,,
2023,March,,
2023,April,,
2023,May,,
2023,June,,
2023,July,,
2023,August,,
2023,September,,
2023,October,,
2023,November,,
2023,December,,
2024,January,,
2024,February,,
2024,March,,
2024,April,,
2024,May,,
2024,June,,
2024,July,,
2024,August,,
2024,September,,
2024,October,,
2024,November,,
2024,December,,
