Year,Period,Rice CPI
1994,Jan,31.44819201
1994,Feb,31.55873047
1994,Mar,31.6139997
1994,Apr,31.66926893
1994,May,31.77980739
1994,Jun,31.89034585
1994,Jul,32.22196123
1994,Aug,32.7193843
1994,Sep,32.77465353
1994,Oct,32.7193843
1994,Nov,32.55357661
1994,Dec,32.44303815
1995,Jan,33.16153814
1995,Feb,33.16153814
1995,Mar,33.21680737
1995,Apr,33.43788429
1995,May,33.9905766
1995,Jun,34.5432689
1995,Jul,35.53811504
1995,Aug,38.13576886
1995,Sep,41.56246114
1995,Oct,41.00976884
1995,Nov,40.23599961
1995,Dec,39.73857654
1996,Jan,42.88892266
1996,Feb,43.44161497
1996,Mar,43.33107651
1996,Apr,43.33107651
1996,May,43.44161497
1996,Jun,43.38634574
1996,Jul,43.38634574
1996,Aug,43.4968842
1996,Sep,43.38634574
1996,Oct,42.99946113
1996,Nov,42.28096113
1996,Dec,42.2256919
1997,Jan,42.17042267
1997,Feb,42.2256919
1997,Mar,42.50203805
1997,Apr,42.61257651
1997,May,42.55730728
1997,Jun,42.55730728
1997,Jul,42.66784574
1997,Aug,43.66269189
1997,Sep,43.88376881
1997,Oct,43.77323035
1997,Nov,43.4968842
1997,Dec,43.16526882
1998,Jan,43.22053805
1998,Feb,43.44161497
1998,Mar,43.60742266
1998,Apr,43.60742266
1998,May,43.66269189
1998,Jun,44.6022688
1998,Jul,44.82334572
1998,Aug,45.04442264
1998,Sep,46.31561494
1998,Oct,45.04442264
1998,Nov,45.59711495
1998,Dec,44.71280726
1999,Jan,45.65238418
1999,Feb,45.8734611
1999,Mar,45.8734611
1999,Apr,45.81819187
1999,May,45.59711495
1999,Jun,45.65238418
1999,Jul,45.76292264
1999,Aug,45.81819187
1999,Sep,45.76292264
1999,Oct,45.26549956
1999,Nov,44.6022688
1999,Dec,44.6022688
2000,Jan,44.87861495
2000,Feb,45.43130726
2000,Mar,45.59711495
2000,Apr,45.76292264
2000,May,46.09453802
2000,Jun,46.26034571
2000,Jul,46.70249955
2000,Aug,47.08938416
2000,Sep,47.14465339
2000,Oct,47.08938416
2000,Nov,46.86830724
2000,Dec,46.86830724
2001,Jan,46.86830724
2001,Feb,46.70249955
2001,Mar,46.70249955
2001,Apr,46.75776878
2001,May,46.75776878
2001,Jun,46.92357647
2001,Jul,47.19992262
2001,Aug,47.25519185
2001,Sep,47.31046108
2001,Oct,47.14465339
2001,Nov,46.81303801
2001,Dec,46.75776878
2002,Jan,47.08938416
2002,Feb,47.14465339
2002,Mar,47.25519185
2002,Apr,47.19992262
2002,May,47.36573031
2002,Jun,47.42099954
2002,Jul,48.02896108
2002,Aug,49.02380722
2002,Sep,49.9081149
2002,Oct,49.13434568
2002,Nov,48.52638415
2002,Dec,48.36057646
2003,Jan,48.13949954
2003,Feb,48.250038
2003,Mar,48.13949954
2003,Apr,48.30530723
2003,May,48.52638415
2003,Jun,48.74746107
2003,Jul,49.18961491
2003,Aug,49.30015337
2003,Sep,49.18961491
2003,Oct,48.8027303
2003,Nov,48.47111492
2003,Dec,48.41584569
2004,Jan,48.41584569
2004,Feb,48.58165338
2004,Mar,48.8027303
2004,Apr,49.24488414
2004,May,49.30015337
2004,Jun,49.68703798
2004,Jul,50.35026875
2004,Aug,51.06876874
2004,Sep,51.01349951
2004,Oct,50.51607644
2004,Nov,50.29499952
2004,Dec,50.35026875
2005,Jan,50.46080721
2005,Feb,50.73715336
2005,Mar,51.01349951
2005,Apr,52.11888411
2005,May,52.94792257
2005,Jun,53.50061487
2005,Jul,54.05330717
2005,Aug,54.71653794
2005,Sep,54.88234563
2005,Oct,54.60599947
2005,Nov,54.32965332
2005,Dec,54.32965332
2006,Jan,54.38492255
2006,Feb,54.66126871
2006,Mar,54.8270764
2006,Apr,55.04815332
2006,May,55.32449947
2006,Jun,55.49030716
2006,Jul,55.60084562
2006,Aug,55.82192254
2006,Sep,55.60084562
2006,Oct,55.54557639
2006,Nov,55.43503793
2006,Dec,55.43503793
2007,Jan,55.65611485
2007,Feb,55.932461
2007,Mar,55.98773023
2007,Apr,56.15353792
2007,May,56.37461484
2007,Jun,56.54042253
2007,Jul,56.76149945
2007,Aug,57.25892253
2007,Sep,58.53011482
2007,Oct,58.64065328
2007,Nov,58.58538405
2007,Dec,58.69592251
2008,Jan,59.24861481
2008,Feb,59.5802302
2008,Mar,60.90669172
2008,Apr,66.59942244
2008,May,69.6392301
2008,Jun,74.22657621
2008,Jul,77.43219156
2008,Aug,77.04530695
2008,Sep,75.22142235
2008,Oct,73.23173007
2008,Nov,72.07107623
2008,Dec,71.57365316
2009,Jan,72.34742238
2009,Feb,74.22657621
2009,Mar,74.83453774
2009,Apr,75.6635762
2009,May,75.99519158
2009,Jun,76.16099927
2009,Jul,75.88465312
2009,Aug,75.82938389
2009,Sep,75.55303774
2009,Oct,75.16615312
2009,Nov,75.22142235
2009,Dec,75.44249927
2010,Jan,75.82938389
2010,Feb,76.49261465
2010,Mar,77.04530695
2010,Apr,76.93476849
2010,May,76.82423003
2010,Jun,76.93476849
2010,Jul,77.65326848
2010,Aug,78.20596079
2010,Sep,78.64811463
2010,Oct,78.97973001
2010,Nov,79.31134539
2010,Dec,79.36661462
2011,Jan,79.97457615
2011,Feb,80.52726846
2011,Mar,80.74834538
2011,Apr,81.19049922
2011,May,81.30103768
2011,Jun,81.5221146
2011,Jul,81.30103768
2011,Aug,81.30103768
2011,Sep,81.24576845
2011,Oct,81.13522999
2011,Nov,80.58253769
2011,Dec,80.41673
2012,Jan,80.32659512
2012,Feb,80.62296864
2012,Mar,80.99937108
2012,Apr,81.19962148
2012,May,81.44875425
2012,Jun,81.68492005
2012,Jul,81.98509304
2012,Aug,82.41265599
2012,Sep,82.52211799
2012,Oct,82.21772216
2012,Nov,82.07363967
2012,Dec,82.09837728
2013,Jan,81.80746409
2013,Feb,82.25616309
2013,Mar,82.2350346
2013,Apr,82.2342095
2013,May,82.38302814
2013,Jun,82.64803641
2013,Jul,83.42170514
2013,Aug,84.88059153
2013,Sep,87.73468249
2013,Oct,88.01016564
2013,Nov,88.04270528
2013,Dec,88.98326321
2014,Jan,89.53491887
2014,Feb,90.27685343
2014,Mar,91.47208447
2014,Apr,91.82889973
2014,May,92.67313919
2014,Jun,93.67201609
2014,Jul,95.32583029
2014,Aug,96.16060833
2014,Sep,96.63171854
2014,Oct,96.51164041
2014,Nov,96.16259354
2014,Dec,96.00999411
2015,Jan,95.67690651
2015,Feb,95.1575
2015,Mar,94.62766217
2015,Apr,94.22582558
2015,May,94.03695191
2015,Jun,93.99986027
2015,Jul,93.88216046
2015,Aug,93.72941653
2015,Sep,93.90678637
2015,Oct,93.81327229
2015,Nov,93.6089455
2015,Dec,93.5713226
2016,Jan,93.38862872
2016,Feb,93.48803417
2016,Mar,93.32156001
2016,Apr,93.23995277
2016,May,93.23489212
2016,Jun,93.35202192
2016,Jul,93.86948307
2016,Aug,94.06748049
2016,Sep,94.36409056
2016,Oct,94.33865931
2016,Nov,94.16277845
2016,Dec,94.07754169
2017,Jan,94.24604253
2017,Feb,94.27555845
2017,Mar,94.2355827
2017,Apr,94.20687116
2017,May,94.32216384
2017,Jun,94.54667271
2017,Jul,94.78316102
2017,Aug,94.90260094
2017,Sep,95.04876729
2017,Oct,94.9371023
2017,Nov,94.94448176
2017,Dec,95.16207727
2018,Jan,94.35925995
2018,Feb,95.2373066
2018,Mar,96.54815997
2018,Apr,97.31361109
2018,May,97.98533586
2018,Jun,98.66546484
2018,Jul,99.63509481
2018,Aug,102.0515773
2018,Sep,106.4138752
2018,Oct,106.8857141
2018,Nov,103.5286914
2018,Dec,101.2675167
2019,Jan,100.2143668
2019,Feb,99.52239442
2019,Mar,98.65332054
2019,Apr,97.75958606
2019,May,96.86232158
2019,Jun,96.28358578
2019,Jul,95.43643725
2019,Aug,94.82916065
2019,Sep,93.84781734
2019,Oct,92.67949836
2019,Nov,91.95325942
2019,Dec,91.49639917
2020,Jan,90.86869274
2020,Feb,90.46329123
2020,Mar,90.33284328
2020,Apr,92.22324879
2020,May,93.03843779
2020,Jun,93.58885938
2020,Jul,93.8654026
2020,Aug,93.6055056
2020,Sep,93.18911615
2020,Oct,92.24874897
2020,Nov,91.65065587
2020,Dec,91.61775614
2021,Jan,91.14044278
2021,Feb,91.13843016
2021,Mar,91.22957847
2021,Apr,91.50968141
2021,May,91.71383249
2021,Jun,91.58936354
2021,Jul,91.78666239
2021,Aug,92.17981959
2021,Sep,91.97356912
2021,Oct,91.84790703
2021,Nov,91.66751529
2021,Dec,91.54951685
2022,Jan,92.04573971
2022,Feb,92.58565862
2022,Mar,92.66357598
2022,Apr,93.01322598
2022,May,93.08501837
2022,Jun,93.4399138
2022,Jul,93.75285093
2022,Aug,94.23073481
2022,Sep,94.1902419
2022,Oct,94.16881601
2022,Nov,94.50217686
2022,Dec,94.69973158
2023,Jan,94.52672406
2023,Feb,94.59617792
2023,Mar,95.04115285
2023,Apr,95.72283766
2023,May,96.25721207
2023,Jun,96.78849614
2023,Jul,97.68255822
2023,Aug,102.4257041
2023,Sep,111.0470046
2023,Oct,106.595657
2023,Nov,109.464932
2023,Dec,113.2728196
2024,Jan,115.8532692
2024,Feb,117.0447577
2024,Mar,118.2021605
2024,Apr,118.6177358
2024,May,118.3788395
2024,Jun,118.5190584
2024,Jul,118.1448237
2024,Aug,117.5196277
2024,Sep,117.4027269
2024,Oct,116.8153653
2024,Nov,115.0144287
2024,Dec,114.161666
